taxon_level,taxon_id,taxon_name,change_class,change_class_avilist,change_class_id,change_class_desc,change_class_avilist_id,change_class_avilist_desc
ssp,u131a,Southern Sooty Oystercatcher,,,,,,
ssp,u131b,Northern Sooty Oystercatcher,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u147,Banded Stilt,,,,,,
sp,u148,Red-necked Avocet,,,,,,
sp,u146,Pied Stilt,1a,,1a,Species split - allopatric,,
sp,136,Grey Plover,,,,,,
ssp,u136a,Eastern Grey Plover,5c,,5c,Non-taxonomic change - taxon_id,,
ssp,u136b,Wrangel Island Grey Plover,6b,,6b,New listing - subspecies,,
sp,u137,Pacific Golden Plover,,,,,,
sp,u143,Red-capped Plover,,,,,,
sp,140,Double-banded Plover,,,,,,
ssp,u140,New Zealand Double-banded Plover,,,,,,
sp,139,Lesser Sand Plover,,,,,,
ssp,u139a,Mongolian Lesser Sand Plover,,,,,,
ssp,u139b,Kamchatkan Lesser Sand Plover,,,,,,
sp,141,Greater Sand Plover,,,,,,
ssp,u141,Eastern Greater Sand Plover,5b,,5b,Non-taxonomic change - common name ,,
sp,u142,Oriental Plover,,,,,,
sp,138,Hooded Plover,,,,,,
ssp,u138a,Eastern Hooded Plover,,,,,,
ssp,u138b,Western Hooded Plover,,,,,,
sp,u144,Black-fronted Dotterel,,,,,,
sp,u135,Banded Lapwing,,,,,,
sp,133,Masked Lapwing,,,,,,
ssp,u133a,Northern Masked Lapwing,,,,,,
ssp,u133b,Southern Masked Lapwing,,,,,,
sp,u132,Red-kneed Dotterel,,,,,,
sp,u145,Inland Dotterel,5a,,5a,Non-taxonomic change - scientific name ,,
sp,u20,Plains-wanderer,,,,,,
sp,u170,Australian Painted-Snipe,5b,,5b,Non-taxonomic change - common name ,,
sp,u171,Comb-crested Jacana,,,,,,
sp,150,Eurasian Whimbrel,,1a,,,1a,Species split - allopatric
ssp,u150,Eastern Siberian Whimbrel,,1a,,,1a,Species split - allopatric
sp,u151,Little Curlew,,,,,,
sp,u149,Far Eastern Curlew,5b,,5b,Non-taxonomic change - common name ,,
sp,153,Bar-tailed Godwit,,,,,,
ssp,u153a,Alaskan Bar-tailed Godwit,5b,,5b,Non-taxonomic change - common name ,,
ssp,u153b,Yakutian Bar-tailed Godwit,5b,,5b,Non-taxonomic change - common name ,,
sp,152,Black-tailed Godwit,,,,,,
ssp,u152,Eastern Black-tailed Godwit,5b,,5b,Non-taxonomic change - common name ,,
sp,129,Ruddy Turnstone,,,,,,
ssp,u129,Palaearctic Ruddy Turnstone,,,,,,
